term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
metabolic,156,25,28.28700429744873,1.6933080465998376,2.791706598177446,13.06437131398925,276.7761516908206
defined,152,39,27.561696494950045,2.6415605526957466,2.327910957946542,13.03113250492358,227.25212563446803
guidance,151,43,27.380369544325376,2.9124898401517205,2.224055165625507,12.927112853292265,215.29070174281446
standards,149,53,27.01771564307603,3.5898130587916555,2.003622306502132,12.575169759418372,189.16401241309322
functional,157,79,28.4683312480734,5.350853427255486,1.6584821135942382,12.064772638719102,158.12082629066902
ahrq,173,10,31.369562458068142,0.677323218639935,3.7700617127236438,11.930333203522975,379.3025307355087
referral,126,27,22.84719577870859,1.8287726903278245,2.50415263275287,11.885390225146878,202.6793504927603
initiative,165,97,29.91894685307077,6.570035220807369,1.5030953442844712,11.796049423967471,145.91895905507465
indicated,124,33,22.484541877459247,2.2351666215117856,2.289205654711198,11.75517593553363,182.41342772195955
follow-up,122,27,22.121887976209905,1.8287726903278245,2.4726135110461858,11.697236661631752,193.8384302986733
communication,263,250,47.68898801428856,16.933080465998373,1.026884181258346,11.666939640227833,132.77405948847954
review,140,75,25.385773087453988,5.079924139799512,1.5945266844043209,11.195182551831426,134.1127925889696
fda,128,12,23.209849679957934,0.812787862367922,3.317492393224299,11.131340287215226,259.0595870727622
immune,159,104,28.830985149322746,7.044161473855324,1.3978717558709066,11.116190167243621,127.08528433396705
cdc,143,82,25.929753939328005,5.554050392847467,1.5259734326813987,11.078557927044239,129.29060175551223
reporting,104,24,18.858002864965822,1.625575724735844,2.4311770585089514,10.797990121845102,162.53732520518477
